"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",55451,33,"1300",52.3143768311,4.94099140167,52.3143768311,4.94099140167,52.3145294189,4.94135761261,"52.3137512207","4.94099140167","122","52.3145751953","4.94174814224","52.3148765564","4.94123029709","52.3145065308","4.94134759903",70
"MegaCom Ltd",25991,51,"3150",52.3643760681,4.92587423325,52.3643760681,4.92587423325,52.3649024963,4.92782211304,"NULL","NULL","47","52.3653717041","4.92791986465","NULL","NULL","NULL","NULL",71
"MegaCom Ltd",40511,13,"6400",52.40625,4.89786624908,52.40625,4.89786624908,52.4081878662,4.90156269073,"52.4056243896","4.9050245285","50","52.4074859619","4.89775371552","52.4085235596","4.89359378815","52.4100112915","4.90229988098",72
"MegaCom Ltd",901,32,"1300",52.3149986267,4.88924312592,52.3149986267,4.88924312592,52.3153533936,4.88776350021,"52.3187484741","4.87903785706","43","52.3120689392","4.89845228195","52.3180236816","4.88545417786","52.3167037964","4.88993167877",73
"MegaCom Ltd",60251,11,"6400",52.3474998474,4.88865232468,52.3474998474,4.88865232468,52.3469390869,4.88761711121,"NULL","NULL","51","52.3477935791","4.88595199585","52.3493881226","4.886469841","52.3458442688","4.88846683502",74
"MegaCom Ltd",22311,32,"1300",52.3499984741,4.81711912155,52.3499984741,4.81711912155,52.3497276306,4.81786632538,"52.3531265259","4.81507825851","46","52.3549804688","4.81444835663","52.3530464172","4.81584453583","52.3491744995","4.81814432144",75
"MegaCom Ltd",41061,13,"6400",52.3325004578,4.95850086212,52.3325004578,4.95850086212,52.3326416016,4.95880842209,"52.3293762207","4.96156263351","44","52.3312110901","4.95451164246","52.3328895569","4.95625019073","52.3302192688","4.95709466934",76
"MegaCom Ltd",41271,11,"6400",52.3943748474,4.86888170242,52.3943748474,4.86888170242,52.3937835693,4.86925315857,"52.3937492371","4.86888170242","34","52.3938140869","4.86950206757","52.3933410645","4.86826658249","52.394908905","4.86620140076",77
"MegaCom Ltd",40291,33,"1300",52.3637504578,4.89941883087,52.3637504578,4.89941883087,52.366355896,4.9006690979,"52.3675003052","4.90043926239","52","52.3630752563","4.90009784698","52.3639030457","4.90202617645","52.3629150391","4.90220689774",78
"MegaCom Ltd",40291,12,"6400",52.3662490845,4.90788078308,52.3662490845,4.90788078308,52.3663864136,4.90782737732,"52.3668746948","4.90481948853","53","52.3665046692","4.90653800964","52.3668212891","4.90562009811","52.3665428162","4.90840339661",79
